District,Types of Institute,Type,Institute Name,Trade/ Branch Name,Seats
Bhopal,B.Tech,SFI UNI,"University Institute of Technology RGPV, Bhopal (1986)",Automobile B.Tech,60
Bhopal,B.Tech,SFI UNI,"University Institute of Technology RGPV, Bhopal (1986)",Civil B.Tech,60
Bhopal,B.Tech,SFI UNI,"University Institute of Technology RGPV, Bhopal (1986)",Computer Science and B.Tech,120
Bhopal,B.Tech,SFI UNI,"University Institute of Technology RGPV, Bhopal (1986)",Electrical & Electronics B.Tech,60
Bhopal,B.Tech,SFI UNI,"University Institute of Technology RGPV, Bhopal (1986)",Electronics and Communication B.Tech,120
Bhopal,B.Tech,SFI UNI,"University Institute of Technology RGPV, Bhopal (1986)",Information Technology,60
Bhopal,B.Tech,SFI UNI,"University Institute of Technology RGPV, Bhopal (1986)",Mechanical B.Tech,60
Bhopal,B.Tech,SFI UNI,"University Institute of Technology RGPV, Bhopal (1986)",Petrochemical Technology,60
Shivpuri,B.Tech,SFI UNI,"UNIVERSITY INSTITUTE OF TECHNOLOGY RGPV, SHIVPURI (2020)",Civil B.Tech,60
Shivpuri,B.Tech,SFI UNI,"UNIVERSITY INSTITUTE OF TECHNOLOGY RGPV, SHIVPURI (2020)",Computer Science and B.Tech,60
Shivpuri,B.Tech,SFI UNI,"UNIVERSITY INSTITUTE OF TECHNOLOGY RGPV, SHIVPURI (2020)",Electrical & Electronics B.Tech,60
Shivpuri,B.Tech,SFI UNI,"UNIVERSITY INSTITUTE OF TECHNOLOGY RGPV, SHIVPURI (2020)",Mechanical B.Tech,60
Jhabua,B.Tech,SFI UNI,"University Institute of Technology, Jhabua (Constituent College of RGPV)* (2015)",Computer Science and B.Tech,60
Jhabua,B.Tech,SFI UNI,"University Institute of Technology, Jhabua (Constituent College of RGPV)* (2015)",Mechanical B.Tech,60
Shahdol,B.Tech,SFI UNI,"University Institute of Technology, Shahdol (Constituent College of RGPV)* (2015)",Mechanical B.Tech,60
Shahdol,B.Tech,SFI UNI,"University Institute of Technology, Shahdol (Constituent College of RGPV)* (2015)",MINING Eng,60
Bhopal,Diploma,University,"Univesity Polytechnic College, Rgpv, Bhopal",Mechanical Engineering,60
Bhopal,Diploma,University,"Univesity Polytechnic College, Rgpv, Bhopal",Civil Engineering,60
Bhopal,Diploma,University,"Univesity Polytechnic College, Rgpv, Bhopal",Electrical Engineering,60
